Class/Attributes/References;C.: 0%;M.: 0%;D.: 2%;IC.: 0%;IM.: 2%;ID.: 0%;
NavigationPathVariableCS;;;;;;
Attributes;;;;;;
varName;;;;;;
NavigationPathElementCS;;;;;;
References;;;;;;
pathName;;;;;;
ForAllExpCS;;;;;;
Attributes;;;;;;
op;;;;;;
logicOp;;;;;;
References;;;;;;
left;;;;;;
right;;;;;;
source;;;;;;
navExp;;;;;;
itVar;;;;;;
exp;;;;;;
accVars;;;;;;
